id,nome,nivel,sexo,tipos,movimentos,habilidade,natureza,cur_hp,stats,imagem,legendario,mitico,geracao,danos
11,metapod,1,genderless,['bug'],"['heal-order', 'signal-beam']",shed-skin,quirky,50,"[50, 20, 55, 25, 25, 30]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,False,False,generation-i,"{'recebe_dano_duplo': ['fire', 'rock', 'flying'], 'recebe_dano_metade': ['fighting', 'grass', 'ground'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'fighting', 'fire', 'flying'], 'causa_dano_zero': []}"
12,butterfree,1,genderless,"['bug', 'flying']","['drill-peck', 'gust']",compound-eyes,quirky,60,"[60, 45, 50, 80, 90, 70]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,False,False,generation-i,"{'recebe_dano_duplo': ['rock', 'ice', 'fire', 'flying', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass', 'ground'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['dark', 'psychic', 'grass', 'fighting', 'bug'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'rock', 'fighting', 'fire', 'flying', 'electric'], 'causa_dano_zero': []}"
13,weedle,1,male,"['bug', 'poison']","['twineedle', 'string-shot']",shield-dust,docile,40,"[40, 35, 30, 20, 20, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'rock', 'fire', 'ground', 'flying'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'ground', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'rock', 'fighting', 'fire', 'ground', 'flying'], 'causa_dano_zero': ['steel']}"
14,kakuna,1,genderless,"['bug', 'poison']","['fury-cutter', 'gastro-acid']",shed-skin,serious,45,"[45, 25, 50, 25, 25, 35]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'rock', 'fire', 'ground', 'flying'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'ground', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'rock', 'fighting', 'fire', 'ground', 'flying'], 'causa_dano_zero': ['steel']}"
15,beedrill,1,genderless,"['bug', 'poison']","['megahorn', 'defend-order']",sniper,quirky,65,"[65, 90, 40, 80, 45, 75]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'rock', 'fire', 'ground', 'flying'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'ground', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'rock', 'fighting', 'fire', 'ground', 'flying'], 'causa_dano_zero': ['steel']}"
16,pidgey,1,female,"['normal', 'flying']","['mega-punch', 'body-slam']",keen-eye,hardy,40,"[40, 45, 40, 35, 35, 56]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
17,pidgeotto,1,male,"['normal', 'flying']","['morning-sun', 'sleep-talk']",keen-eye,hardy,63,"[63, 60, 55, 50, 50, 71]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
18,pidgeot,1,male,"['normal', 'flying']","['swift', 'assist']",tangled-feet,serious,83,"[83, 80, 75, 70, 70, 101]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
19,rattata,1,female,['normal'],"['foresight', 'glare']",guts,docile,30,"[30, 56, 35, 35, 25, 72]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
20,raticate,1,male,['normal'],"['captivate', 'me-first']",hustle,hardy,55,"[55, 81, 60, 70, 50, 97]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting'], 'recebe_dano_metade': [], 'recebe_dano_zero': ['ghost'], 'causa_dano_duplo': [], 'causa_dano_metade': ['rock', 'steel'], 'causa_dano_zero': ['ghost']}"
21,spearow,1,male,"['normal', 'flying']","['transform', 'super-fang']",keen-eye,bashful,40,"[40, 60, 30, 31, 31, 70]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
22,fearow,1,female,"['normal', 'flying']","['pluck', 'copycat']",keen-eye,quirky,65,"[65, 90, 65, 61, 61, 100]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'rock', 'ice', 'electric'], 'recebe_dano_metade': ['fighting', 'bug', 'grass'], 'recebe_dano_zero': ['ghost', 'ground'], 'causa_dano_duplo': ['fighting', 'bug', 'grass'], 'causa_dano_metade': ['rock', 'steel', 'electric'], 'causa_dano_zero': ['ghost']}"
23,ekans,1,female,['poison'],"['gunk-shot', 'toxic-spikes']",intimidate,bashful,35,"[35, 60, 44, 54, 40, 55]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
24,arbok,1,male,['poison'],"['gastro-acid', 'acid']",intimidate,serious,60,"[60, 95, 69, 79, 65, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
25,pikachu,1,female,['electric'],"['shock-wave', 'thunder-wave']",lightning-rod,bashful,35,"[35, 55, 40, 50, 50, 90]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground'], 'recebe_dano_metade': ['steel', 'flying', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'flying'], 'causa_dano_metade': ['grass', 'dragon', 'electric'], 'causa_dano_zero': ['ground']}"
26,raichu,1,female,['electric'],"['thunder', 'thunder-shock']",lightning-rod,hardy,60,"[60, 90, 55, 80, 90, 110]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground'], 'recebe_dano_metade': ['steel', 'flying', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'flying'], 'causa_dano_metade': ['grass', 'dragon', 'electric'], 'causa_dano_zero': ['ground']}"
27,sandshrew,1,female,['ground'],"['mud-bomb', 'earthquake']",sand-veil,bashful,50,"[50, 75, 85, 30, 20, 40]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'water', 'ice'], 'recebe_dano_metade': ['rock', 'poison'], 'recebe_dano_zero': ['electric'], 'causa_dano_duplo': ['steel', 'rock', 'poison', 'fire', 'electric'], 'causa_dano_metade': ['grass', 'bug'], 'causa_dano_zero': ['flying']}"
28,sandslash,1,genderless,['ground'],"['earthquake', 'mud-bomb']",sand-veil,quirky,75,"[75, 100, 110, 55, 45, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'water', 'ice'], 'recebe_dano_metade': ['rock', 'poison'], 'recebe_dano_zero': ['electric'], 'causa_dano_duplo': ['steel', 'rock', 'poison', 'fire', 'electric'], 'causa_dano_metade': ['grass', 'bug'], 'causa_dano_zero': ['flying']}"
29,nidoran-f,1,genderless,['poison'],"['acid', 'gastro-acid']",poison-point,bashful,55,"[55, 47, 52, 40, 40, 41]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
30,nidorina,1,genderless,['poison'],"['poison-sting', 'poison-gas']",hustle,bashful,70,"[70, 62, 67, 55, 55, 56]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
31,nidoqueen,1,genderless,"['poison', 'ground']","['poison-fang', 'bone-rush']",poison-point,serious,90,"[90, 92, 87, 85, 75, 76]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'psychic', 'grass', 'ice', 'ground'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'rock', 'fighting', 'bug'], 'recebe_dano_zero': ['electric'], 'causa_dano_duplo': ['steel', 'fairy', 'grass', 'poison', 'rock', 'fire', 'electric'], 'causa_dano_metade': ['ghost', 'grass', 'rock', 'poison', 'ground', 'bug'], 'causa_dano_zero': ['steel', 'flying']}"
32,nidoran-m,1,female,['poison'],"['acid-armor', 'acid-armor']",rivalry,docile,46,"[46, 57, 40, 40, 40, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
33,nidorino,1,female,['poison'],"['acid', 'poison-powder']",rivalry,quirky,61,"[61, 72, 57, 55, 55, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'psychic'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fairy', 'grass'], 'causa_dano_metade': ['rock', 'ground', 'poison', 'ghost'], 'causa_dano_zero': ['steel']}"
34,nidoking,1,female,"['poison', 'ground']","['mud-bomb', 'gunk-shot']",rivalry,docile,81,"[81, 102, 77, 75, 85, 85]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'psychic', 'grass', 'ice', 'ground'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'rock', 'fighting', 'bug'], 'recebe_dano_zero': ['electric'], 'causa_dano_duplo': ['steel', 'fairy', 'grass', 'poison', 'rock', 'fire', 'electric'], 'causa_dano_metade': ['ghost', 'grass', 'rock', 'poison', 'ground', 'bug'], 'causa_dano_zero': ['steel', 'flying']}"
35,clefairy,1,female,['fairy'],"['sweet-kiss', 'sweet-kiss']",magic-guard,docile,70,"[70, 45, 48, 65, 60, 35]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,False,False,generation-i,"{'recebe_dano_duplo': ['poison', 'steel'], 'recebe_dano_metade': ['fighting', 'bug', 'dark'], 'recebe_dano_zero': ['dragon'], 'causa_dano_duplo': ['fighting', 'dragon', 'dark'], 'causa_dano_metade': ['fire', 'poison', 'steel'], 'causa_dano_zero': []}"
36,clefable,1,genderless,['fairy'],"['sweet-kiss', 'moonlight']",magic-guard,hardy,95,"[95, 70, 73, 90, 95, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,False,False,generation-i,"{'recebe_dano_duplo': ['poison', 'steel'], 'recebe_dano_metade': ['fighting', 'bug', 'dark'], 'recebe_dano_zero': ['dragon'], 'causa_dano_duplo': ['fighting', 'dragon', 'dark'], 'causa_dano_metade': ['fire', 'poison', 'steel'], 'causa_dano_zero': []}"
37,vulpix,1,female,['fire'],"['eruption', 'flame-wheel']",flash-fire,hardy,38,"[38, 41, 40, 65, 50, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
38,ninetales,1,genderless,['fire'],"['magma-storm', 'will-o-wisp']",flash-fire,serious,73,"[73, 76, 75, 100, 81, 100]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
39,jigglypuff,1,female,"['normal', 'fairy']","['growl', 'sonic-boom']",cute-charm,quirky,115,"[115, 45, 20, 25, 45, 20]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'poison', 'steel'], 'recebe_dano_metade': ['fighting', 'bug', 'dark'], 'recebe_dano_zero': ['ghost', 'dragon'], 'causa_dano_duplo': ['fighting', 'dragon', 'dark'], 'causa_dano_metade': ['fire', 'rock', 'steel', 'poison'], 'causa_dano_zero': ['ghost']}"
40,wigglytuff,1,male,"['normal', 'fairy']","['moonlight', 'yawn']",frisk,quirky,140,"[140, 70, 45, 50, 85, 45]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,False,False,generation-i,"{'recebe_dano_duplo': ['fighting', 'poison', 'steel'], 'recebe_dano_metade': ['fighting', 'bug', 'dark'], 'recebe_dano_zero': ['ghost', 'dragon'], 'causa_dano_duplo': ['fighting', 'dragon', 'dark'], 'causa_dano_metade': ['fire', 'rock', 'steel', 'poison'], 'causa_dano_zero': ['ghost']}"
41,zubat,1,male,"['poison', 'flying']","['poison-fang', 'tailwind']",inner-focus,serious,40,"[40, 45, 35, 40, 30, 55]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'rock', 'ice', 'ground', 'electric'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['fairy', 'grass', 'bug', 'fighting'], 'causa_dano_metade': ['ghost', 'steel', 'rock', 'poison', 'ground', 'electric'], 'causa_dano_zero': ['steel']}"
42,golbat,1,genderless,"['poison', 'flying']","['defog', 'sky-attack']",inner-focus,bashful,75,"[75, 80, 70, 75, 65, 90]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'rock', 'ice', 'ground', 'electric'], 'recebe_dano_metade': ['fairy', 'grass', 'poison', 'fighting', 'bug'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['fairy', 'grass', 'bug', 'fighting'], 'causa_dano_metade': ['ghost', 'steel', 'rock', 'poison', 'ground', 'electric'], 'causa_dano_zero': ['steel']}"
43,oddish,1,female,"['grass', 'poison']","['sleep-powder', 'solar-beam']",chlorophyll,docile,45,"[45, 50, 55, 65, 75, 30]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
44,gloom,1,male,"['grass', 'poison']","['poison-tail', 'acid']",chlorophyll,docile,60,"[60, 65, 70, 75, 85, 40]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
45,vileplume,1,male,"['grass', 'poison']","['stun-spore', 'smog']",chlorophyll,quirky,75,"[75, 80, 85, 90, 110, 50]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
46,paras,1,genderless,"['bug', 'grass']","['x-scissor', 'mega-drain']",dry-skin,docile,35,"[35, 70, 55, 55, 45, 25]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,False,False,generation-i,"{'recebe_dano_duplo': ['rock', 'poison', 'ice', 'fire', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'grass', 'fighting', 'ground', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'dark', 'psychic', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'grass', 'poison', 'dragon', 'fighting', 'fire', 'bug', 'flying'], 'causa_dano_zero': []}"
